862426.296,74194.22,2017-10-02 09:42:24.580911
862427.032,74194.22,2017-10-02 09:42:24.848536
862427.288,74194.22,2017-10-02 09:42:25.114738
862427.616,74194.22,2017-10-02 09:42:25.384628
862430.432,74194.22,2017-10-02 09:42:25.650040
862430.8,74194.22,2017-10-02 09:42:25.915612
862430.8,74194.22,2017-10-02 09:42:26.186184
862433.16,74194.22,2017-10-02 09:42:26.451405
862433.416,74194.22,2017-10-02 09:42:26.718799
862433.928,74194.22,2017-10-02 09:42:26.988957
862435.928,74194.22,2017-10-02 09:42:27.257720
862438.936,74195.012,2017-10-02 09:42:27.526501
862439.464,74195.228,2017-10-02 09:42:27.791901
862445.936,74195.228,2017-10-02 09:42:28.055836
862447.368,74195.228,2017-10-02 09:42:28.321300
863623.62,74234.684,2017-10-02 09:42:28.589594
863623.62,74234.684,2017-10-02 09:42:28.856173
863624.724,74236.824,2017-10-02 09:42:29.126063
863630.56,74241.1,2017-10-02 09:42:29.390482
863632.864,74241.1,2017-10-02 09:42:29.655421
863632.864,74241.1,2017-10-02 09:42:29.920056
863633.232,74241.1,2017-10-02 09:42:30.186074
863633.232,74241.1,2017-10-02 09:42:30.454217
863633.232,74241.1,2017-10-02 09:42:30.722540
863634.848,74241.1,2017-10-02 09:42:30.987841
863634.848,74241.1,2017-10-02 09:42:31.253405
863637.856,74243.96,2017-10-02 09:42:31.519815
863641.652,74245.464,2017-10-02 09:42:31.786555
863648.436,74245.464,2017-10-02 09:42:32.054754
863649.368,74245.464,2017-10-02 09:42:32.321479
863653.992,74245.464,2017-10-02 09:42:32.587374
863654.248,74245.464,2017-10-02 09:42:32.854488
863654.984,74245.464,2017-10-02 09:42:33.120383
863656.008,74245.464,2017-10-02 09:42:33.384991
863660.38,74245.944,2017-10-02 09:42:33.662265
863661.012,74245.944,2017-10-02 09:42:33.932203
865319.432,74301.864,2017-10-02 09:42:34.211357
865320.328,74301.864,2017-10-02 09:42:34.480292
865320.696,74301.864,2017-10-02 09:42:34.748242
865321.684,74301.864,2017-10-02 09:42:35.019977
865322.192,74301.864,2017-10-02 09:42:35.309993
865324.168,74301.864,2017-10-02 09:42:35.587829
865325.04,74301.864,2017-10-02 09:42:35.886865
865326.4,74301.864,2017-10-02 09:42:36.155064
865327.296,74301.864,2017-10-02 09:42:36.424532
865328.96,74315.968,2017-10-02 09:42:36.690007
865337.452,74316.76,2017-10-02 09:42:36.960236
865344.472,74316.976,2017-10-02 09:42:37.232503
865348.408,74317.192,2017-10-02 09:42:37.503379
865349.408,74317.192,2017-10-02 09:42:37.775017
865353.984,74317.192,2017-10-02 09:42:38.042113
865357.416,74317.408,2017-10-02 09:42:38.329394
865366.472,74317.408,2017-10-02 09:42:38.624549
867161.888,74376.712,2017-10-02 09:42:38.891416
867169.696,74383.096,2017-10-02 09:42:39.160054
867174.12,74384.336,2017-10-02 09:42:39.428809
867174.64,74384.336,2017-10-02 09:42:39.697354
867175.008,74384.336,2017-10-02 09:42:39.983664
867175.248,74384.336,2017-10-02 09:42:40.253896
867176.416,74384.336,2017-10-02 09:42:40.523174
867179.248,74384.336,2017-10-02 09:42:40.795123
867188.704,74384.336,2017-10-02 09:42:41.084148
867190.192,74384.336,2017-10-02 09:42:41.361363
867191.552,74384.336,2017-10-02 09:42:41.623757
867191.552,74384.336,2017-10-02 09:42:41.894099
867192.116,74384.336,2017-10-02 09:42:42.162853
867195.396,74387.016,2017-10-02 09:42:42.433071
867197.024,74388.072,2017-10-02 09:42:42.700066
867197.996,74388.072,2017-10-02 09:42:42.968121
867199.964,74388.072,2017-10-02 09:42:43.236568
867201.084,74388.072,2017-10-02 09:42:43.502368
867201.804,74388.072,2017-10-02 09:42:43.773064
867203.66,74388.072,2017-10-02 09:42:44.046779
867203.66,74388.072,2017-10-02 09:42:44.318469
867211.032,74388.072,2017-10-02 09:42:44.587357
868860.804,74444.208,2017-10-02 09:42:44.856975
868868.612,74444.208,2017-10-02 09:42:45.124908
868868.876,74444.208,2017-10-02 09:42:45.396032
868868.876,74444.208,2017-10-02 09:42:45.664113
868870.492,74444.208,2017-10-02 09:42:45.935882
